Method,Path,Class,Package,ReturnType,isFinal,isAbstract,isDefault,isStatic,NumParams,ParamTypes,parNumStandardTypes,parNumCustomTypes,parNumUnresolvedTypes,AccessModifier,Annotations,Javadoc,Expressions,ExpressionTypes,expNumStandardTypes,expNumCustomTypes,expNumUnresolvedTypes,RawLoc,CleanLoc,AllStandard,AllCustomAndUnresolved
getEntryList,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMapOrBuilder.java,FunctionInformationMapOrBuilder,com.google.javascript.jscomp,java.util.List<com.google.javascript.jscomp.FunctionInformationMap.Entry>,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
getEntry,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMapOrBuilder.java,FunctionInformationMapOrBuilder,com.google.javascript.jscomp,com.google.javascript.jscomp.FunctionInformationMap.Entry,false,false,false,false,1,ob int cb,1,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,1
getEntryCount,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMapOrBuilder.java,FunctionInformationMapOrBuilder,com.google.javascript.jscomp,int,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
getEntryOrBuilderList,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMapOrBuilder.java,FunctionInformationMapOrBuilder,com.google.javascript.jscomp,java.util.List<? extends com.google.javascript.jscomp.FunctionInformationMap.EntryOrBuilder>,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
getEntryOrBuilder,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMapOrBuilder.java,FunctionInformationMapOrBuilder,com.google.javascript.jscomp,com.google.javascript.jscomp.FunctionInformationMap.EntryOrBuilder,false,false,false,false,1,ob int cb,1,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,1
getModuleList,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMapOrBuilder.java,FunctionInformationMapOrBuilder,com.google.javascript.jscomp,java.util.List<com.google.javascript.jscomp.FunctionInformationMap.Module>,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
getModule,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMapOrBuilder.java,FunctionInformationMapOrBuilder,com.google.javascript.jscomp,com.google.javascript.jscomp.FunctionInformationMap.Module,false,false,false,false,1,ob int cb,1,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,1
getModuleCount,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMapOrBuilder.java,FunctionInformationMapOrBuilder,com.google.javascript.jscomp,int,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
getModuleOrBuilderList,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMapOrBuilder.java,FunctionInformationMapOrBuilder,com.google.javascript.jscomp,java.util.List<? extends com.google.javascript.jscomp.FunctionInformationMap.ModuleOrBuilder>,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
getModuleOrBuilder,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMapOrBuilder.java,FunctionInformationMapOrBuilder,com.google.javascript.jscomp,com.google.javascript.jscomp.FunctionInformationMap.ModuleOrBuilder,false,false,false,false,1,ob int cb,1,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,1
getDefaultInstance,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,FunctionInformationMap,false,false,false,true,0,ob  cb,0,0,0,public,,,ob defaultInstance cb,ob  cb,0,0,0,-1,-1,0,1
getDefaultInstanceForType,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,FunctionInformationMap,false,false,false,false,0,ob  cb,0,0,0,public,,,ob defaultInstance cb,ob  cb,0,0,0,-1,-1,0,1
getDescriptor,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,com.google.protobuf.Descriptors.Descriptor,true,false,false,true,0,ob  cb,0,0,0,public,,,ob com.google.javascript.jscomp.FunctionInfo.internal_static_jscomp_FunctionInformationMap_descriptor  com.google.javascript.jscomp.FunctionInfo  com.google.javascript.jscomp  com.google.javascript  com.google  com cb,ob  cb,0,0,0,-1,-1,0,1
internalGetFieldAccessorTable,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,com.google.protobuf.GeneratedMessage.FieldAccessorTable,false,false,false,false,0,ob  cb,0,0,0,protected,,,ob com.google.javascript.jscomp.FunctionInfo.internal_static_jscomp_FunctionInformationMap_fieldAccessorTable  com.google.javascript.jscomp.FunctionInfo  com.google.javascript.jscomp  com.google.javascript  com.google  com cb,ob  cb,0,0,0,-1,-1,0,1
hasId,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,boolean,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
getId,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,int,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
hasSourceName,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,boolean,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
getSourceName,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,String,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,0,1
hasLineNumber,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,boolean,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
getLineNumber,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,int,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
hasModuleName,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,boolean,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
getModuleName,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,String,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,0,1
hasSize,repos/Closure-176f/gen/com/google/javascript/jscomp/FunctionInformationMap.java,FunctionInformationMap,com.google.javascript.jscomp,boolean,false,false,false,false,0,ob  cb,0,0,0,,,,ob  cb,ob  cb,0,0,0,-1,-1,1,0
