Method,Path,Class,Package,ReturnType,isFinal,isAbstract,isDefault,isStatic,NumParams,ParamTypes,parNumStandardTypes,parNumCustomTypes,parNumUnresolvedTypes,AccessModifier,Annotations,Javadoc,Expressions,ExpressionTypes,expNumStandardTypes,expNumCustomTypes,expNumUnresolvedTypes,RawLoc,CleanLoc,AllStandard,AllCustomAndUnresolved
createContextual,repos/JacksonDatabind-112f/attic/MappingIteratorDeserializer.java,MappingIteratorDeserializer,com.fasterxml.jackson.databind.deser.std,JsonDeserializer<?>,false,false,false,false,2,ob DeserializationContext  BeanProperty cb,0,2,0,public,Override,,ob @Override  JsonDeserializer<Object> deser = ctxt.findContextualValueDeserializer op _valueType  prop cp   ctxt.findContextualValueDeserializer op _valueType  prop cp   ctxt  _valueType  prop   op deser == _valueDeserializer cp  ? this : new MappingIteratorDeserializer op _valueType  deser cp    op deser == _valueDeserializer cp   deser == _valueDeserializer  deser  _valueDeserializer  this  new MappingIteratorDeserializer op _valueType  deser cp   _valueType  deser cb,ob  cb,0,0,0,-1,-1,0,3
deserialize,repos/JacksonDatabind-112f/attic/MappingIteratorDeserializer.java,MappingIteratorDeserializer,com.fasterxml.jackson.databind.deser.std,MappingIterator<Object>,false,false,false,false,2,ob JsonParser  DeserializationContext cb,0,2,0,public,Override,,ob @Override  MappingIterator<Object> mit = new MappingIterator<Object> op _valueType  p  ctxt  _valueDeserializer  false  null cp   new MappingIterator<Object> op _valueType  p  ctxt  _valueDeserializer  false  null cp   _valueType  p  ctxt  _valueDeserializer  false  null  mit cb,ob  cb,0,0,0,-1,-1,0,3
childInstance,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,TypeBindings,false,false,false,false,0,ob  cb,0,0,0,public,,Constructor used to create ""child"" instances  mostly to allow delegation from explicitly defined local overrides  op local type variables for methods  constructors cp  to contextual  op class-defined cp  ones.,ob new TypeBindings op _typeFactory  this  _classStack  _contextClass  _contextType cp   _typeFactory  this  _classStack  _contextClass  _contextType cb,ob  cb,0,0,0,-1,-1,0,1
resolveType,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,JavaType,false,false,false,false,1,ob Class<?> cb,0,1,0,public,,,ob _typeFactory._constructType op _classStack  cls  this cp   _typeFactory  _classStack  cls  this cb,ob  cb,0,0,0,-1,-1,0,2
resolveType,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,JavaType,false,false,false,false,1,ob Type cb,0,1,0,public,,,ob _typeFactory._constructType op _classStack  type  this cp   _typeFactory  _classStack  type  this cb,ob  cb,0,0,0,-1,-1,0,2
findType,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,JavaType,false,false,false,false,2,ob String  boolean cb,1,1,0,public,,,ob _bindings == null  _bindings  null  _resolve op  cp   JavaType t = _bindings.get op name cp   _bindings.get op name cp   _bindings  name  t != null  t  null  t  _placeholders != null && _placeholders.contains op name cp   _placeholders != null  _placeholders  null  _placeholders.contains op name cp   _placeholders  name  UNBOUND  _parentBindings != null  _parentBindings  null  _parentBindings.findType op name  mustFind cp   _parentBindings  name  mustFind  _contextClass != null  _contextClass  null  ClassUtil.getEnclosingClass op _contextClass cp  != null  ClassUtil.getEnclosingClass op _contextClass cp   ClassUtil  _contextClass  null  !Modifier.isStatic op _contextClass.getModifiers op  cp  cp   Modifier.isStatic op _contextClass.getModifiers op  cp  cp   Modifier  _contextClass.getModifiers op  cp   _contextClass  UNBOUND  !mustFind  mustFind  null  String className  _contextClass != null  _contextClass  null  className = _contextClass.getName op  cp   className  _contextClass.getName op  cp   _contextClass  _contextType != null  _contextType  null  className = _contextType.toString op  cp   className  _contextType.toString op  cp   _contextType  className = ""UNKNOWN""  className  ""UNKNOWN""  new IllegalArgumentException op ""Type variable '"" + name + ""' can not be resolved  op with context of class "" + className + "" cp "" cp   ""Type variable '"" + name + ""' can not be resolved  op with context of class "" + className + "" cp ""  ""Type variable '"" + name + ""' can not be resolved  op with context of class "" + className  ""Type variable '"" + name + ""' can not be resolved  op with context of class ""  ""Type variable '"" + name  ""Type variable '""  name  ""' can not be resolved  op with context of class ""  className  "" cp "" cb,ob  cb,0,0,0,-1,-1,1,2
addBinding,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,void,false,false,false,false,2,ob String  JavaType cb,0,2,0,public,,,ob _bindings == null || _bindings.size op  cp  == 0  _bindings == null  _bindings  null  _bindings.size op  cp  == 0  _bindings.size op  cp   _bindings  0  _bindings = new LinkedHashMap<String  JavaType> op  cp   _bindings  new LinkedHashMap<String  JavaType> op  cp   _bindings.put op name  type cp   _bindings  name  type cb,ob  cb,0,0,0,-1,-1,1,2
typesAsArray,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,JavaType ob  cb,false,false,false,false,0,ob  cb,0,0,0,public,,,ob _bindings == null  _bindings  null  _resolve op  cp   _bindings.size op  cp  == 0  _bindings.size op  cp   _bindings  0  NO_TYPES  _bindings.values op  cp .toArray op new JavaType ob _bindings.size op  cp  cb  cp   _bindings.values op  cp   _bindings  new JavaType ob _bindings.size op  cp  cb   _bindings.size op  cp   _bindings cb,ob  cb,0,0,0,-1,-1,0,1
getBindingCount,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,int,false,false,false,false,0,ob  cb,0,0,0,protected,,,ob _bindings == null  _bindings  null  _resolve op  cp   _bindings.size op  cp   _bindings cb,ob  cb,0,0,0,-1,-1,1,0
_resolve,repos/JacksonDatabind-112f/attic/TypeBindings.java,TypeBindings,com.fasterxml.jackson.databind.type,void,false,false,false,false,0,ob  cb,0,0,0,protected,,,ob _resolveBindings op _contextClass cp   _contextClass  _contextType != null  _contextType  null  int count = _contextType.containedTypeCount op  cp   _contextType.containedTypeCount op  cp   _contextType  count > 0  count  0  int i = 0  0  i < count  i  count  ++i  i  String name = _contextType.containedTypeName op i cp   _contextType.containedTypeName op i cp   _contextType  i  JavaType type = _contextType.containedType op i cp   _contextType.containedType op i cp   _contextType  i  addBinding op name  type cp   name  type  _bindings == null  _bindings  null  _bindings = Collections.emptyMap op  cp   _bindings  Collections.emptyMap op  cp   Collections cb,ob  cb,0,0,0,-1,-1,1,0
