Method,Path,Class,Package,ReturnType,isFinal,isAbstract,isDefault,isStatic,NumParams,ParamTypes,parNumStandardTypes,parNumCustomTypes,parNumUnresolvedTypes,AccessModifier,Annotations,Javadoc,Expressions,ExpressionTypes,expNumStandardTypes,expNumCustomTypes,expNumUnresolvedTypes,RawLoc,CleanLoc,AllStandard,AllCustomAndUnresolved
main,repos/Math-106f/TestRunner.java,TestRunner,,void,false,false,false,true,1,ob java.lang.String cb,1,0,0,public,,,ob JUnitCore core = new JUnitCore op  cp   new JUnitCore op  cp   String cls  args  core.run op Class.forName op cls cp  cp   core  Class.forName op cls cp   Class  cls  System.exit op 0 cp   System  0 cb,ob Unresolved  Unresolved  java.lang.String  java.lang.String ob  cb   Unresolved  Unresolved  java.lang.Class  java.lang.Class  java.lang.String  void  java.lang.System cb,5,0,4,8,8,5,4
setDelta,repos/Math-106f/src/experimental/org/apache/commons/math/analysis/derivative/AbstractDifferenceDerivative.java,AbstractDifferenceDerivative,org.apache.commons.math.analysis.derivative,void,false,false,false,false,1,ob double cb,1,0,0,private,,,ob this.delta = h  this.delta  this  h cb,ob double  double  org.apache.commons.math.analysis.derivative.AbstractDifferenceDerivative  double cb,1,1,0,1,1,2,1
getDelta,repos/Math-106f/src/experimental/org/apache/commons/math/analysis/derivative/AbstractDifferenceDerivative.java,AbstractDifferenceDerivative,org.apache.commons.math.analysis.derivative,double,false,false,false,false,0,ob  cb,0,0,0,protected,,,ob delta cb,ob double cb,1,0,0,1,1,1,0
value,repos/Math-106f/src/experimental/org/apache/commons/math/analysis/derivative/BackwardDifferenceDerivative.java,BackwardDifferenceDerivative,org.apache.commons.math.analysis.derivative,double,false,false,false,false,1,ob double cb,1,0,0,public,,,ob UnivariateRealFunction f = getFunction op  cp   getFunction op  cp   double h = getDelta op  cp   getDelta op  cp    op f.value op x cp  - f.value op x - h cp  cp  / h   op f.value op x cp  - f.value op x - h cp  cp   f.value op x cp  - f.value op x - h cp   f.value op x cp   f  x  f.value op x - h cp   f  x - h  x  h  h cb,ob Unresolved  Error: Method 'getFunction' cannot be resolved in context getFunction op  cp   op line: 41 cp  MethodCallExprContext ocb wrapped=getFunction op  cp  ccb . Parameter types:  ob  cb   double  Error: Method 'getDelta' cannot be resolved in context getDelta op  cp   op line: 42 cp  MethodCallExprContext ocb wrapped=getDelta op  cp  ccb . Parameter types:  ob  cb   Unresolved  Unresolved  Unresolved  Unresolved  Unresolved  double  Unresolved  Unresolved  double  double  double  double cb,1,2,8,3,3,1,10
decorate,repos/Math-106f/src/experimental/org/apache/commons/math/analysis/derivative/BackwardDifferenceDerivative.java,BackwardDifferenceDerivative,org.apache.commons.math.analysis.derivative,UnivariateRealFunction,false,false,false,true,2,ob Unresolved  double cb,1,0,1,public,,,ob new BackwardDifferenceDerivative op function  h cp   function  h cb,ob org.apache.commons.math.analysis.derivative.BackwardDifferenceDerivative  Unresolved  double cb,1,1,1,1,1,1,4
value,repos/Math-106f/src/experimental/org/apache/commons/math/analysis/derivative/CenterDifferenceDerivative.java,CenterDifferenceDerivative,org.apache.commons.math.analysis.derivative,double,false,false,false,false,1,ob double cb,1,0,0,public,,,ob UnivariateRealFunction f = getFunction op  cp   getFunction op  cp   double h2 = getDelta op  cp   getDelta op  cp   double h = h2 * .5  h2 * .5  h2  .5   op f.value op x + h cp  - f.value op x - h cp  cp  / h2   op f.value op x + h cp  - f.value op x - h cp  cp   f.value op x + h cp  - f.value op x - h cp   f.value op x + h cp   f  x + h  x  h  f.value op x - h cp   f  x - h  x  h  h2 cb,ob Unresolved  Error: Method 'getFunction' cannot be resolved in context getFunction op  cp   op line: 41 cp  MethodCallExprContext ocb wrapped=getFunction op  cp  ccb . Parameter types:  ob  cb   double  Error: Method 'getDelta' cannot be resolved in context getDelta op  cp   op line: 42 cp  MethodCallExprContext ocb wrapped=getDelta op  cp  ccb . Parameter types:  ob  cb   double  double  double  Unresolved  Unresolved  Unresolved  Unresolved  Unresolved  double  double  double  Unresolved  Unresolved  double  double  double  double cb,1,2,8,4,4,1,10
decorate,repos/Math-106f/src/experimental/org/apache/commons/math/analysis/derivative/CenterDifferenceDerivative.java,CenterDifferenceDerivative,org.apache.commons.math.analysis.derivative,UnivariateRealFunction,false,false,false,true,2,ob Unresolved  double cb,1,0,1,public,,,ob new CenterDifferenceDerivative op function  h cp   function  h cb,ob org.apache.commons.math.analysis.derivative.CenterDifferenceDerivative  Unresolved  double cb,1,1,1,1,1,1,4
value,repos/Math-106f/src/experimental/org/apache/commons/math/analysis/derivative/ForwardDifferenceDerivative.java,ForwardDifferenceDerivative,org.apache.commons.math.analysis.derivative,double,false,false,false,false,1,ob double cb,1,0,0,public,,,ob UnivariateRealFunction f = getFunction op  cp   getFunction op  cp   double h = getDelta op  cp   getDelta op  cp    op f.value op x + h cp  - f.value op x cp  cp  / h   op f.value op x + h cp  - f.value op x cp  cp   f.value op x + h cp  - f.value op x cp   f.value op x + h cp   f  x + h  x  h  f.value op x cp   f  x  h cb,ob Unresolved  Error: Method 'getFunction' cannot be resolved in context getFunction op  cp   op line: 41 cp  MethodCallExprContext ocb wrapped=getFunction op  cp  ccb . Parameter types:  ob  cb   double  Error: Method 'getDelta' cannot be resolved in context getDelta op  cp   op line: 42 cp  MethodCallExprContext ocb wrapped=getDelta op  cp  ccb . Parameter types:  ob  cb   Unresolved  Unresolved  Unresolved  Unresolved  Unresolved  double  double  double  Unresolved  Unresolved  double  double cb,1,2,8,3,3,1,10
decorate,repos/Math-106f/src/experimental/org/apache/commons/math/analysis/derivative/ForwardDifferenceDerivative.java,ForwardDifferenceDerivative,org.apache.commons.math.analysis.derivative,UnivariateRealFunction,false,false,false,true,2,ob Unresolved  double cb,1,0,1,public,,,ob new ForwardDifferenceDerivative op function  h cp   function  h cb,ob org.apache.commons.math.analysis.derivative.ForwardDifferenceDerivative  Unresolved  double cb,1,1,1,1,1,1,4
getFunction,repos/Math-106f/src/experimental/org/apache/commons/math/analysis/UnivariateRealFunctionProxy.java,UnivariateRealFunctionProxy,org.apache.commons.math.analysis,UnivariateRealFunction,false,false,false,false,0,ob  cb,0,0,0,protected,,,ob function cb,ob Unresolved cb,0,0,1,1,1,0,2
