Method,Path,Class,Package,ReturnType,isFinal,isAbstract,isDefault,isStatic,NumParams,ParamTypes,parNumStandardTypes,parNumCustomTypes,parNumUnresolvedTypes,AccessModifier,Annotations,Javadoc,Expressions,ExpressionTypes,expNumStandardTypes,expNumCustomTypes,expNumUnresolvedTypes,RawLoc,CleanLoc,AllStandard,AllCustomAndUnresolved
buildFactories,repos/Time-27f/JodaTimeContrib/holiday/src/java/org/joda/time/contrib/holiday/GBHolidays.java,GBHolidays,org.joda.time.contrib.holiday,void,false,false,false,false,0,ob  cb,0,0,0,protected,,,ob addFactory op new NamedAnniversaryFactory op ""New Year's Day""  CommonAnniversaries.NEW_YEAR cp  cp   new NamedAnniversaryFactory op ""New Year's Day""  CommonAnniversaries.NEW_YEAR cp   ""New Year's Day""  CommonAnniversaries.NEW_YEAR  CommonAnniversaries  addFactory op new NamedAnniversaryFactory op ""Good Friday""  CommonAnniversaries.GOOD_FRIDAY cp  cp   new NamedAnniversaryFactory op ""Good Friday""  CommonAnniversaries.GOOD_FRIDAY cp   ""Good Friday""  CommonAnniversaries.GOOD_FRIDAY  CommonAnniversaries  addFactory op new NamedAnniversaryFactory op ""Easter Monday""  CommonAnniversaries.EASTER_MONDAY cp  cp   new NamedAnniversaryFactory op ""Easter Monday""  CommonAnniversaries.EASTER_MONDAY cp   ""Easter Monday""  CommonAnniversaries.EASTER_MONDAY  CommonAnniversaries  addFactory op new NamedAnniversaryFactory op ""May Day Bank Holiday""  GBAnniversaries.MAY_DAY_BANK_HOLIDAY cp  cp   new NamedAnniversaryFactory op ""May Day Bank Holiday""  GBAnniversaries.MAY_DAY_BANK_HOLIDAY cp   ""May Day Bank Holiday""  GBAnniversaries.MAY_DAY_BANK_HOLIDAY  GBAnniversaries  addFactory op new NamedAnniversaryFactory op ""Spring Bank Holiday""  GBAnniversaries.SPRING_BANK_HOLIDAY cp  cp   new NamedAnniversaryFactory op ""Spring Bank Holiday""  GBAnniversaries.SPRING_BANK_HOLIDAY cp   ""Spring Bank Holiday""  GBAnniversaries.SPRING_BANK_HOLIDAY  GBAnniversaries  addFactory op new NamedAnniversaryFactory op ""Battle of the Boyne""  GBAnniversaries.JULY_12 cp  cp   new NamedAnniversaryFactory op ""Battle of the Boyne""  GBAnniversaries.JULY_12 cp   ""Battle of the Boyne""  GBAnniversaries.JULY_12  GBAnniversaries  addFactory op new NamedAnniversaryFactory op ""Summer Bank Holiday""  GBAnniversaries.SUMMER_BANK_HOLIDAY cp  cp   new NamedAnniversaryFactory op ""Summer Bank Holiday""  GBAnniversaries.SUMMER_BANK_HOLIDAY cp   ""Summer Bank Holiday""  GBAnniversaries.SUMMER_BANK_HOLIDAY  GBAnniversaries  addFactory op new NamedAnniversaryFactory op ""Christmas Day""  CommonAnniversaries.CHRISTMAS cp  cp   new NamedAnniversaryFactory op ""Christmas Day""  CommonAnniversaries.CHRISTMAS cp   ""Christmas Day""  CommonAnniversaries.CHRISTMAS  CommonAnniversaries  addFactory op new NamedAnniversaryFactory op ""Boxing Day""  CommonAnniversaries.BOXING_DAY cp  cp   new NamedAnniversaryFactory op ""Boxing Day""  CommonAnniversaries.BOXING_DAY cp   ""Boxing Day""  CommonAnniversaries.BOXING_DAY  CommonAnniversaries cb,ob  cb,0,0,0,-1,-1,1,0
buildFactories,repos/Time-27f/JodaTimeContrib/holiday/src/java/org/joda/time/contrib/holiday/CanadaStatutoryHolidays.java,CanadaStatutoryHolidays,org.joda.time.contrib.holiday,void,false,false,false,false,0,ob  cb,0,0,0,protected,,,ob addFactory op new NamedAnniversaryFactory op ""New Year's Day""  CanadaAnniversaries.NEW_YEAR_HOLIDAY cp  cp   new NamedAnniversaryFactory op ""New Year's Day""  CanadaAnniversaries.NEW_YEAR_HOLIDAY cp   ""New Year's Day""  CanadaAnniversaries.NEW_YEAR_HOLIDAY  CanadaAnniversaries  addFactory op new NamedAnniversaryFactory op ""Good Friday""  CommonAnniversaries.GOOD_FRIDAY cp  cp   new NamedAnniversaryFactory op ""Good Friday""  CommonAnniversaries.GOOD_FRIDAY cp   ""Good Friday""  CommonAnniversaries.GOOD_FRIDAY  CommonAnniversaries  addFactory op new NamedAnniversaryFactory op ""Victoria Day""  CanadaAnniversaries.VICTORIA_DAY cp  cp   new NamedAnniversaryFactory op ""Victoria Day""  CanadaAnniversaries.VICTORIA_DAY cp   ""Victoria Day""  CanadaAnniversaries.VICTORIA_DAY  CanadaAnniversaries  addFactory op new NamedAnniversaryFactory op ""Canada Day""  CanadaAnniversaries.CANADA_DAY_HOLIDAY cp  cp   new NamedAnniversaryFactory op ""Canada Day""  CanadaAnniversaries.CANADA_DAY_HOLIDAY cp   ""Canada Day""  CanadaAnniversaries.CANADA_DAY_HOLIDAY  CanadaAnniversaries  addFactory op new NamedAnniversaryFactory op ""Labour Day""  CommonAnniversaries.LABOR_DAY cp  cp   new NamedAnniversaryFactory op ""Labour Day""  CommonAnniversaries.LABOR_DAY cp   ""Labour Day""  CommonAnniversaries.LABOR_DAY  CommonAnniversaries  addFactory op new NamedAnniversaryFactory op ""Thanksgiving Day""  CanadaAnniversaries.THANKSGIVING cp  cp   new NamedAnniversaryFactory op ""Thanksgiving Day""  CanadaAnniversaries.THANKSGIVING cp   ""Thanksgiving Day""  CanadaAnniversaries.THANKSGIVING  CanadaAnniversaries  addFactory op new NamedAnniversaryFactory op ""Remembrance Day""  CanadaAnniversaries.REMEMBRANCE_DAY_HOLIDAY cp  cp   new NamedAnniversaryFactory op ""Remembrance Day""  CanadaAnniversaries.REMEMBRANCE_DAY_HOLIDAY cp   ""Remembrance Day""  CanadaAnniversaries.REMEMBRANCE_DAY_HOLIDAY  CanadaAnniversaries  addFactory op new NamedAnniversaryFactory op ""Christmas Day""  CanadaAnniversaries.CHRISTMAS_HOLIDAY cp  cp   new NamedAnniversaryFactory op ""Christmas Day""  CanadaAnniversaries.CHRISTMAS_HOLIDAY cp   ""Christmas Day""  CanadaAnniversaries.CHRISTMAS_HOLIDAY  CanadaAnniversaries  addFactory op new NamedAnniversaryFactory op ""Boxing Day""  CanadaAnniversaries.BOXING_DAY_HOLIDAY cp  cp   new NamedAnniversaryFactory op ""Boxing Day""  CanadaAnniversaries.BOXING_DAY_HOLIDAY cp   ""Boxing Day""  CanadaAnniversaries.BOXING_DAY_HOLIDAY  CanadaAnniversaries cb,ob  cb,0,0,0,-1,-1,1,0
create,repos/Time-27f/JodaTimeContrib/holiday/src/java/org/joda/time/contrib/holiday/anniversary/AnniversaryFactory.java,AnniversaryFactory,org.joda.time.contrib.holiday.anniversary,DateTime,false,true,false,false,1,ob int cb,1,0,0,public,,,ob  cb,ob  cb,0,0,0,-1,-1,1,1
getId,repos/Time-27f/JodaTimeContrib/holiday/src/java/org/joda/time/contrib/holiday/anniversary/AnniversaryFactory.java,AnniversaryFactory,org.joda.time.contrib.holiday.anniversary,String,false,false,false,false,0,ob  cb,0,0,0,public,,,ob holidayID cb,ob  cb,0,0,0,-1,-1,0,1
create,repos/Time-27f/JodaTimeContrib/holiday/src/java/org/joda/time/contrib/holiday/anniversary/CommonAnniversaries.java,CommonAnniversaries,org.joda.time.contrib.holiday.anniversary,DateTime,false,false,false,false,1,ob int cb,1,0,0,public,,,ob new DateMidnight op iYear  DateTimeConstants.JANUARY  1 cp .toDateTime op  cp   new DateMidnight op iYear  DateTimeConstants.JANUARY  1 cp   iYear  DateTimeConstants.JANUARY  DateTimeConstants  1 cb,ob  cb,0,0,0,-1,-1,1,1
create,repos/Time-27f/JodaTimeContrib/holiday/src/java/org/joda/time/contrib/holiday/anniversary/CommonAnniversaries.java,CommonAnniversaries,org.joda.time.contrib.holiday.anniversary,DateTime,false,false,false,false,1,ob int cb,1,0,0,public,,,ob new DateMidnight op iYear  DateTimeConstants.FEBRUARY  14 cp .toDateTime op  cp   new DateMidnight op iYear  DateTimeConstants.FEBRUARY  14 cp   iYear  DateTimeConstants.FEBRUARY  DateTimeConstants  14 cb,ob  cb,0,0,0,-1,-1,1,1
create,repos/Time-27f/JodaTimeContrib/holiday/src/java/org/joda/time/contrib/holiday/anniversary/CommonAnniversaries.java,CommonAnniversaries,org.joda.time.contrib.holiday.anniversary,DateTime,false,false,false,false,1,ob int cb,1,0,0,public,,,ob new DateMidnight op iYear  DateTimeConstants.MARCH  17 cp .toDateTime op  cp   new DateMidnight op iYear  DateTimeConstants.MARCH  17 cp   iYear  DateTimeConstants.MARCH  DateTimeConstants  17 cb,ob  cb,0,0,0,-1,-1,1,1
create,repos/Time-27f/JodaTimeContrib/holiday/src/java/org/joda/time/contrib/holiday/anniversary/CommonAnniversaries.java,CommonAnniversaries,org.joda.time.contrib.holiday.anniversary,DateTime,false,false,false,false,1,ob int cb,1,0,0,public,,,ob EASTER_SUNDAY.create op iYear cp .minusDays op 2 cp   EASTER_SUNDAY.create op iYear cp   EASTER_SUNDAY  iYear  2 cb,ob  cb,0,0,0,-1,-1,1,1
create,repos/Time-27f/JodaTimeContrib/holiday/src/java/org/joda/time/contrib/holiday/anniversary/CommonAnniversaries.java,CommonAnniversaries,org.joda.time.contrib.holiday.anniversary,DateTime,false,false,false,false,1,ob int cb,1,0,0,public,,,ob int iG = iYear % 19  iYear % 19  iYear  19  int iC = iYear / 100  iYear / 100  iYear  100  int iH =  op iC - iC / 4 -  op 8 * iC + 13 cp  / 25 + 19 * iG + 15 cp  % 30   op iC - iC / 4 -  op 8 * iC + 13 cp  / 25 + 19 * iG + 15 cp  % 30   op iC - iC / 4 -  op 8 * iC + 13 cp  / 25 + 19 * iG + 15 cp   iC - iC / 4 -  op 8 * iC + 13 cp  / 25 + 19 * iG + 15  iC - iC / 4 -  op 8 * iC + 13 cp  / 25 + 19 * iG  iC - iC / 4 -  op 8 * iC + 13 cp  / 25  iC - iC / 4  iC  iC / 4  iC  4   op 8 * iC + 13 cp  / 25   op 8 * iC + 13 cp   8 * iC + 13  8 * iC  8  iC  13  25  19 * iG  19  iG  15  30  int iI = iH -  op iH / 28 cp  *  op 1 -  op 29 /  op iH + 1 cp  cp  *  op  op 21 - iG cp  / 11 cp  cp   iH -  op iH / 28 cp  *  op 1 -  op 29 /  op iH + 1 cp  cp  *  op  op 21 - iG cp  / 11 cp  cp   iH   op iH / 28 cp  *  op 1 -  op 29 /  op iH + 1 cp  cp  *  op  op 21 - iG cp  / 11 cp  cp    op iH / 28 cp   iH / 28  iH  28   op 1 -  op 29 /  op iH + 1 cp  cp  *  op  op 21 - iG cp  / 11 cp  cp   1 -  op 29 /  op iH + 1 cp  cp  *  op  op 21 - iG cp  / 11 cp   1   op 29 /  op iH + 1 cp  cp  *  op  op 21 - iG cp  / 11 cp    op 29 /  op iH + 1 cp  cp   29 /  op iH + 1 cp   29   op iH + 1 cp   iH + 1  iH  1   op  op 21 - iG cp  / 11 cp    op 21 - iG cp  / 11   op 21 - iG cp   21 - iG  21  iG  11  int iJ =  op iYear + iYear / 4 + iI + 2 - iC + iC / 4 cp  % 7   op iYear + iYear / 4 + iI + 2 - iC + iC / 4 cp  % 7   op iYear + iYear / 4 + iI + 2 - iC + iC / 4 cp   iYear + iYear / 4 + iI + 2 - iC + iC / 4  iYear + iYear / 4 + iI + 2 - iC  iYear + iYear / 4 + iI + 2  iYear + iYear / 4 + iI  iYear + iYear / 4  iYear  iYear / 4  iYear  4  iI  2  iC  iC / 4  iC  4  7  int iL = iI - iJ  iI - iJ  iI  iJ  int iMonth = 3 +  op iL + 40 cp  / 44  3 +  op iL + 40 cp  / 44  3   op iL + 40 cp  / 44   op iL + 40 cp   iL + 40  iL  40  44  int iDay = iL + 28 - 31 *  op iMonth / 4 cp   iL + 28 - 31 *  op iMonth / 4 cp   iL + 28  iL  28  31 *  op iMonth / 4 cp   31   op iMonth / 4 cp   iMonth / 4  iMonth  4  new DateMidnight op iYear  iMonth  iDay cp .toDateTime op  cp   new DateMidnight op iYear  iMonth  iDay cp   iYear  iMonth  iDay cb,ob  cb,0,0,0,-1,-1,1,1
create,repos/Time-27f/JodaTimeContrib/holiday/src/java/org/joda/time/contrib/holiday/anniversary/CommonAnniversaries.java,CommonAnniversaries,org.joda.time.contrib.holiday.anniversary,DateTime,false,false,false,false,1,ob int cb,1,0,0,public,,,ob EASTER_SUNDAY.create op iYear cp .plusDays op 1 cp   EASTER_SUNDAY.create op iYear cp   EASTER_SUNDAY  iYear  1 cb,ob  cb,0,0,0,-1,-1,1,1
